bukrs	butxt	swerk	name1	stort	ktext	wapinr	stat_sys	stat_cus	priokx	tplnr	pltxt	tsdate	tstime	tfdate	tftime	txt_short	txt_long
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520021000	Саргатский РЭС                          	100001331471	ПОДГ                                    	РАЗР                                    	Плановая            	VN004-00061662                	ВЛ-0,4 кВ ф.2 от ТП-С-4-2               	20230314	100000	20230314	160000	Монтаж СИП                              	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020100	Бичурский РЭС                           	100001330456	ПОДГ                                    	РАЗР                                    	Плановая            	VN004-00087400                	ВЛ-0,4 кВ ф.1 от ТП-7-Шн-3              	20230314	100000	20230314	200000	ВЛ-0,4 кВ ф.1 от ТП-7-Шн-3              	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020100	Бичурский РЭС                           	100001328541	ПОДГ                                    	РАСС                                    	Неплановая          	PS110-000071-14-02-003        	ф.Б-5                                   	20230313	050000	20230313	200000	Для БВР, замена ТСН-1                   	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020100	Бичурский РЭС                           	100001328540	ПОДГ                                    	РАСС                                    	Неплановая          	PS110-000071-14-02-002        	 ф.Б-6                                  	20230313	050000	20230313	200000	Для БВР, замена ТСН-1                   	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020100	Бичурский РЭС                           	100001328539	ПОДГ                                    	РАСС                                    	Неплановая          	PS110-000071-14-02-001        	 ф.Б-1                                  	20230313	050000	20230313	200000	Для БВР, замена ТСН-1                   	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020100	Бичурский РЭС                           	100001328538	ПОДГ                                    	РАСС                                    	Неплановая          	PS110-000071-01               	 1Т                                     	20230313	050000	20230313	200000	Замена ТСН-1                            	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020100	Бичурский РЭС                           	100001328536	ПОДГ                                    	РАСС                                    	Неплановая          	PS110-000071-12-11            	СВ-110                                  	20230313	050000	20230317	200000	Устранение дефектов ТТ-150, ТТ-149      	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4200 	Ф-л Кузбассэнерго        	4200	Ф-л «Кузбассэнерго»           	4200000000	Исполнительный аппарат - Кузбассэнерго-Р	100001329470	ПОДГ                                    	РАЗР ОТКР                               	Неплановая          	US000-002427-05               	Помещение ЦУС (каб. 403)                	20230301	080000	20230331	170000	Настройка ПК "Котми 14" в ЦУС.          	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2400 	Ф-л Красноярскэнерго     	2420	Западные э/с                  	2420020200	Большеулуйский РЭС                      	100001330704	РИЗМ                                    	РАЗР                                    	Плановая            	VS010-0006919                 	ВЛ 10 кВ ф.16-2 Большой Улуй            	20230314	090000	20230314	170000	 Ремонт выносных разъеденителей         	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2200 	Ф-л Алтайэнерго          	2270	Центральные Э/С               	2270020800	Топчихинский РЭС                        	100001330709	РИЗМ                                    	РАЗР                                    	Плановая            	VN004-00018395                	ВЛ-0,4 кВ ф.3 от ТП-86-11-7             	20230314	110000	20230314	170000	Установка ВЩУ                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2200 	Ф-л Алтайэнерго          	2270	Центральные Э/С               	2270020800	Топчихинский РЭС                        	100001330705	РИЗМ                                    	РАЗР                                    	Плановая            	VN004-00102391                	Ф: 2 от КТП: 86-11-6                    	20230313	110000	20230313	170000	Установка ВЩУ                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4200 	Ф-л Кузбассэнерго        	4210	Северо-Восточные э/с          	4210021000	Яшкинский РЭС                           	100001330604	ПОДГ                                    	РАЗР                                    	Плановая            	VN004-00030707                	ВЛ 0,4 кВ ф.2 от ТП-343                 	20230315	100000	20230315	170000	 Замена неизолированного провода на СИП 	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
7500 	Ф-л Читаэнерго           	7520	Городские э/с                 	7520020200	Черновский РЭС                          	100001330516	ПОДГ                                    	РАЗР                                    	Плановая            	TP006-0003190                 	ТП-663 АСКУЭ                            	20230314	100000	20230314	170000	ТП-663 замена Т-1                       	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2200 	Ф-л Алтайэнерго          	2210	Белокурихинские Э/С           	2210020100	Алтайский РЭС                           	100001330329	ПОДГ                                    	РАЗР                                    	Плановая            	TP010-0007585                 	ТП-34-1-14                              	20230314	100000	20230314	173000	Проверка средств грозозащиты            	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2200 	Ф-л Алтайэнерго          	2210	Белокурихинские Э/С           	2210020100	Алтайский РЭС                           	100001330327	ПОДГ                                    	РАЗР                                    	Плановая            	TP010-0007723                 	ТП-38-1-6                               	20230314	100000	20230314	173000	Проверка средств грозозащиты            	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020300	Джидинский РЭС                          	100001327750	РИЗМ                                    	РАЗР                                    	Плановая            	VS010-0005682                 	ВЛ-10 кВ П-3 "Заправка"                 	20230313	100000	20230313	170000	Замена опор                             	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
