bukrs	butxt	swerk	name1	stort	ktext	wapinr	stat_sys	stat_cus	priokx	tplnr	pltxt	tsdate	tstime	tfdate	tftime	txt_short	txt_long
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020300	Джидинский РЭС                          	100001106869	ПОДГ                                    	РАСС                                    	Плановая            	PS110-000078                  	ПС "Петропавловка"                      	20210625	050000	22020625	200000	Фидера 10кв  П1,П3,П4 текущий ремонт    	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020100	Бичурский РЭС                           	100001106866	ПОДГ                                    	РАСС                                    	Плановая            	PS110-000071                  	ПС "Бичура"                             	20210616	050000	22020616	200000	ЛР-319,В-319,ШР-319 текуший ремонт      	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020500	Кяхтинский РЭС                          	100001106867	ПОДГ ЗАКР                               	РАСС                                    	Плановая            	PS110-000084                  	ПС "Харанхой"                           	20210616	050000	22020616	200000	2СШ-10кВ,ТСН-10-2Т текущий ремонт       	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020800	Омский РЭС                              	100000780961	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS110-000650-13-02-001-10     	Выключатель В-35 34Ц                    	20190418	090000	22190418	180000	Плановая проверка РЗА в объеме "В"      	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0300 	Ф-л Бурятэнерго          	0320	Центральные Э/С               	0320000000	Центральные Э/С                         	100000577171	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Неплановая          	VL035-000082                  	ВЛ-35 кВ  Хоринск – Кижинга (ХК-329)    	20171207	080000	21071208	200000	На вывод в ремонт ВЛ-35 кВ ХК-329 для за	* 24.11.2017 13:15:27 UTC+7 Жаргал Александрович Ниндаков (NINDAKOV_ZJA) * На вывод в ремонт ВЛ-35 кВ ХК-329 для замены опор №157, 158, 159, 160, 161 *                                                                                                                                                                                                                                                                                                                                                             
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020300	Крутинский РЭС                          	100000032489	ПОДГ ЗАКР                               	РАЗР                                    	Плановая            	PS035-000758-14-01            	Система шин 10 №1                       	20140506	110000	21040507	180000	Чистка изоляции                         	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020300	Крутинский РЭС                          	100000032490	ПОДГ ЗАКР                               	РАЗР                                    	Плановая            	PS035-000758-14-02            	Система шин №2                          	20140506	110000	21040507	180000	Чистка изоляции                         	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032133	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS110-000623-02               	Силовой трансформатор 2Т                	20140512	080000	21040516	170000	Опробование ОД- 110 1Т, КЗ-110 1Т.      	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032137	ПОДГ ЗАКР                               	РАСС СНЯТ                               	Плановая            	PS110-000615-12-02            	Система шин 110 №2                      	20140505	080000	21040505	170000	Текущий ремонт ЛР-110 С-63              	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032139	ПОДГ ЗАКР                               	РАСС СНЯТ                               	Плановая            	VL110-000908-001              	Кировская -Лузино оп.1-62               	20140505	080000	21040505	170000	Текущий ремонт ЛР-110 С-63              	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032144	ПОДГ ЗАКР                               	РАСС СНЯТ                               	Плановая            	PS110-000620-12-01-001-10     	Выключатель В-110 С-109                 	20140515	080000	21040516	170000	Текущий ремонт ШР 1СШ С-109             	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032145	ПОДГ ЗАКР                               	РАСС СНЯТ                               	Плановая            	PS110-000620-12-02-002-10     	Выключатель  В-110  С-110               	20140519	080000	21040521	170000	Текущий ремонт ШР 1СШ С-110, В-110      	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032146	ПОДГ ЗАКР                               	РАСС СНЯТ                               	Плановая            	PS110-000620-12-01-003-10     	Выключатель В-110 С-17                  	20140522	080000	21040523	170000	Текущий ремонт ШР 1СШ С-17              	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032147	ПОДГ ЗАКР                               	РАСС СНЯТ                               	Плановая            	PS110-000620-12-02-004-10     	Выключатель В-110  С-18                 	20140526	080000	21040528	170000	Текущий ремонт ШР 1СШ С-18              	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032148	ПОДГ ЗАКР                               	РАСС СНЯТ                               	Плановая            	PS110-000620-12-02-005-10     	Выключатель В-110  С-40                 	20140529	080000	21040530	170000	Текущий ремонт ШР 1СШ С-40              	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
